id	tweet	full_name	name	place_type	country	country_code
30	1053080327240015872	Guaratinguetá, Brasil	Guaratinguetá	city	Brasil	BR
31	1053080339411886081	Juiz de Fora, Brasil	Juiz de Fora	city	Brasil	BR
32	1053080573386874880	Belo Horizonte, Brasil	Belo Horizonte	city	Brasil	BR
33	1053081064414068736	São Caetano do Sul, Brasil	São Caetano do Sul	city	Brasil	BR
34	1053081188271906816	Reserva do Iguaçu, Brasil	Reserva do Iguaçu	city	Brasil	BR
35	1053081358082416640	São Caetano do Sul, Brasil	São Caetano do Sul	city	Brasil	BR
36	1053081542061375501	Natal, Brasil	Natal	city	Brasil	BR
37	1053081822672883714	Florianópolis, Brasil	Florianópolis	city	Brasil	BR
38	1053082137530941441	Lauro de Freitas, Brasil	Lauro de Freitas	city	Brasil	BR
39	1053082730064461826	Feira de Santana, Brasil	Feira de Santana	city	Brasil	BR
40	1053084103837450243	Juiz de Fora, Brasil	Juiz de Fora	city	Brasil	BR
41	1053084169012699137	Cuiabá, Brasil	Cuiabá	city	Brasil	BR
42	1053084481807175680	Brusque, Brasil	Brusque	city	Brasil	BR
43	1053084736380387328	Rio de Janeiro, Brasil	Rio de Janeiro	city	Brasil	BR
44	1053085107236626432	Campinas, Brasil	Campinas	city	Brasil	BR
45	1053085181815545856	Camaçari, Brasil	Camaçari	city	Brazil	BR
46	1053085736059179008	São Gonçalo, Brasil	São Gonçalo	city	Brasil	BR
47	1053085844079284225	Curitiba, Brasil	Curitiba	city	Brasil	BR
48	1053085930544861185	São Paulo, Brasil	São Paulo	city	Brasil	BR
49	1053086311060594688	Guarulhos, Brasil	Guarulhos	city	Brasil	BR
50	1053086423845347328	Osasco, Brasil	Osasco	city	Brasil	BR
51	1053086431206432769	Brasília, Brasil	Brasília	city	Brasil	BR
52	1053086507349827585	Rio de Janeiro, Brasil	Rio de Janeiro	city	Brasil	BR
53	1053086918806831105	Brasília, Brasil	Brasília	city	Brasil	BR
54	1053087221530673155	Araguaína, Brasil	Araguaína	city	Brasil	BR
55	1053087448404770816	Curitiba, Brazil	Curitiba	city	Brazil	BR
