id	text	tweet
434	MarketeirosDoJair	1053076756733874178
435	CadeAProva	1053076756733874178
436	MarketeirosDoJair	1053076805786181637
437	Caixa2doBolsonaro	1053076812274786304
438	G1	1053076820973752322
439	G1	1053076836438163456
440	Eleições2018	1053076836438163456
441	FolhaPutinhaDoPT	1053076881451433984
442	caixa2doBolsonaro	1053076930440953856
443	EuVimDeGraça	1053076966771974144
444	Eu	1053076966771974144
445	BolsonaroPresidente	1053076966771974144
446	Bo	1053076966771974144
447	ForaPt	1053076966771974144
448	G1	1053076980722253825
449	Caixa2DoBolsonaro	1053076987139514369
450	G1	1053077009499385856
451	Eleições2018	1053077009499385856
452	G1	1053077015614685184
453	G1Ceará	1053077015614685184
454	Folha	1053077048011509760
455	Datafolha	1053077048011509760
456	Eleições2018	1053077048011509760
457	G1	1053077050704232451
458	G1Rio	1053077050704232451
459	tomara	1053077076771827713
460	LavaZap	1053077077841362944
461	PTNÃONUNCAMAIS	1053077099366486016
462	MarketeirosDoJair	1053077108044582912
463	Caixa2doBolsonaro	1053077138818191360
464	G1	1053077143536787462
465	G1Ceará	1053077143536787462
466	G1	1053077144497209345
467	MarqueteirosDoJair	1053077149253545985
468	Eleições2018	1053077152269324288
469	MarketeirosDoJair	1053077176625651712
470	BolsonaroPresidente17	1053077176625651712
471	Eleições2018	1053077213971656704
472	G1	1053077220367966208
473	G1Rio	1053077220367966208
474	G1	1053077220783255558
475	Caixa2doBolsonaro	1053077240144125952
476	SomostodosmarketeirosdoJair	1053077244921425925
477	SomosTodosBolsonaro17	1053077244921425925
478	G1	1053077293835390977
479	Eleições2018	1053077293835390977
480	G1	1053077297622851589
481	G1Ceará	1053077297622851589
482	G1	1053077322155343872
483	MarketeirosDoJair	1053077323132690433
484	Caixa2doBolsonaro	1053077342338342912
485	BolsonaroPresidente17	1053077344351645696
486	MarkeiteirosDoJair	1053077344351645696
487	Caixa2doBolsonaro	1053077350739574784
488	G1	1053077357026775040
489	G1	1053077357819584517
490	G1Ceará	1053077357819584517
491	Eleições2018	1053077361560825858
492	MarketeirosDoJair	1053077384050720772
493	Folha	1053077385413836800
494	Datafolha	1053077385413836800
495	Eleições2018	1053077385413836800
496	G1	1053077430141943808
497	Eleições2018	1053077430141943808
498	G1	1053077448269750272
499	Eleições2018	1053077448269750272
500	MarketeirosDoJair	1053077471615217664
501	MarketeirosDoJair	1053077476027654146
502	EuVimDeGraça	1053077476027654146
503	G1	1053077483556364288
504	Eleições2018	1053077483556364288
505	tchauquerido	1053077503403794432
506	G1	1053077547590787072
507	Eleições2018	1053077551697027072
508	G1	1053077563952656384
509	Bolsonaro17	1053077576095285249
510	G1	1053077589265391618
511	G1Ceará	1053077589265391618
512	G1	1053077663231950848
513	Folha	1053077694122991616
514	Datafolha	1053077694122991616
515	Eleições2018	1053077694122991616
516	MarketeirosDoJair	1053077694131462147
517	BolsonaroPresidente17	1053077707423129600
518	MarkeiteirosDoJair	1053077707423129600
519	CadeAProva	1053077709671333890
520	G1	1053077710573047812
521	G1Rio	1053077710573047812
522	MarketeirosDoJair	1053077822057652224
523	FolhaPutinhaDoPT	1053077822057652224
524	Bolsonaro17	1053077822057652224
525	G1	1053077824796590080
526	G1Ceará	1053077824796590080
527	Caixa2Bolsonaro	1053077865137364993
528	G1	1053077879305703425
529	Eleições2018	1053077879305703425
530	G1	1053077924646191104
531	G1Rio	1053077924646191104
532	MarqueteiradoJair	1053077942039916546
533	Caixa2doBolsonaro	1053077957483339777
534	Eleições2018	1053077966534651904
535	FacoCampanhaDeGracaProMito	1053077971127451650
536	Bolsonaro17	1053077981000802305
537	Folha	1053078008075112448
538	Datafolha	1053078008075112448
539	Eleições2018	1053078008075112448
540	Caixa2doBolsonaro	1053078038844489729
541	BOLSOLÃO	1053078038844489729
542	Folha	1053078039951785984
543	Datafolha	1053078039951785984
544	Eleições2018	1053078039951785984
545	G1	1053078060927475717
546	G1Ceará	1053078060927475717
547	G1	1053078104145645574
548	G1Ceará	1053078104145645574
549	CadêaProva	1053078108373430273
550	FolhaFakeNews	1053078108373430273
551	MarketeirosDoJair	1053078134541766656
552	MarqueteiroDoJair	1053078134541766656
553	MarqueteirosDoJair	1053078138689908736
554	EuVimDeGraça	1053078138689908736
555	Bolsonaro17	1053078138689908736
556	Caixa2doBolsonaro	1053078139881078786
557	BOLSOLÃO	1053078139881078786
558	Caixa2doBolsonaro	1053078172961521664
559	BOLSOLÃO	1053078172961521664
560	LavaZap	1053078172961521664
561	Caixa2doBolsonaro	1053078196688773122
562	BOLSOLÃO	1053078196688773122
563	corrupção	1053078253861326849
564	globolixo	1053078253861326849
565	folhalixo	1053078253861326849
566	UOLLIXO	1053078253861326849
567	VALORLIXO	1053078253861326849
568	REDEGLOBOLIXO	1053078253861326849
569	G1	1053078319242063873
570	Eleições2018	1053078319242063873
571	Bolsolao	1053078331401351169
572	Caixa2deBolsonaro	1053078331401351169
573	façoparte	1053078420291239936
574	dosmilhões	1053078420291239936
575	quefazem	1053078420291239936
576	propagandadegraça	1053078420291239936
577	votem17	1053078420291239936
578	G1	1053078435483082752
579	G1Rio	1053078435483082752
580	FOLHALIXO	1053078438565896192
581	B17	1053078466042757120
582	marketeirosdojair	1053078509952909312
583	Caixa2deBolsonaro	1053078532404858880
584	G1	1053078541095575554
585	Nordeste17	1053078550591557632
586	Bolsonaro17	1053078550591557632
587	PTNuncaMais	1053078550591557632
588	LulaPresoAte2030	1053078550591557632
589	EleNao	1053078604043694081
590	FolhaPutinhaDoPT	1053078616823738369
591	G1	1053078651229687809
592	MarketeirosDoJair	1053078652450234368
593	caixa2doBolsonaro	1053078694443577345
594	Bolsolão	1053078694443577345
595	MarqueteirosDoJair	1053078736659189762
596	Caixa2doBolsonaro	1053078745521836032
597	G1	1053078756338876416
598	G1	1053078768359747591
599	G1	1053078773971718144
600	FolhaPutinhaDoPT	1053078779453718538
601	EleNão	1053078834046754816
602	Caixa2doBolsonaro	1053078834046754816
603	Caixa2doBolsonaro	1053078871602536452
604	G1	1053078875272605697
605	G1Ceará	1053078875272605697
606	Eleições2018	1053078884974034944
607	Caixa2doBolsanaro	1053078886563676160
608	AcordaImprensaADemocraciaEstáEmPerigo	1053078886563676160
609	Caixa2doBolsonaro	1053078886945382400
610	Caixa2DoBolsonaro	1053078920063565824
611	G1	1053078964229541893
612	G1Rio	1053078964229541893
613	G1	1053078967543062528
614	FolhaPutinhaDoPT	1053078968956583936
615	MarketeirosDoJair	1053078968956583936
616	MarketeirosDoJair	1053078985649852416
