id	tweet	id_user	name	screen_name
18602	1053156562108325893	14594813	Folha de S.Paulo	folha
18603	1053156562188070912	14594813	Folha de S.Paulo	folha
18604	1053156604860862469	14594813	Folha de S.Paulo	folha
18605	1053156638008492032	14594813	Folha de S.Paulo	folha
18606	1053156652227031040	14594813	Folha de S.Paulo	folha
18607	1053156729180090368	14594813	Folha de S.Paulo	folha
18608	1053156746615775232	8802752	G1	g1
18609	1053156777989234688	14594813	Folha de S.Paulo	folha
18610	1053156837565100032	14594813	Folha de S.Paulo	folha
18611	1053156900316045313	8802752	G1	g1
18612	1053156909317005312	9317502	Estadão	Estadao
18613	1053156909317005312	75122758	Inter Estadão	EstadaoInter
18614	1053156911309295616	14594813	Folha de S.Paulo	folha
18615	1053156925142122497	9317502	Estadão	Estadao
18616	1053156925142122497	793167725925376001	esportefera	esportefera
18617	1053156989457580033	8802752	G1	g1
18618	1053157013713289216	14594813	Folha de S.Paulo	folha
18619	1053157025776050176	14594813	Folha de S.Paulo	folha
18620	1053157077990940674	9317502	Estadão	Estadao
18621	1053157077990940674	76369002	Política Estadão	EstadaoPolitica
18622	1053157119350980609	9317502	Estadão	Estadao
18623	1053157119350980609	793167725925376001	esportefera	esportefera
18624	1053157123214008321	14594813	Folha de S.Paulo	folha
18625	1053157123524345856	14594813	Folha de S.Paulo	folha
18626	1053157189823750144	14594813	Folha de S.Paulo	folha
18627	1053157250066534400	14594813	Folha de S.Paulo	folha
18628	1053157263668637696	14594813	Folha de S.Paulo	folha
18629	1053157263668637696	53243190	Assembleia de Deus	adbrasil
18630	1053157277727969280	9317502	Estadão	Estadao
18631	1053157277727969280	76369002	Política Estadão	EstadaoPolitica
18632	1053157287412617216	14594813	Folha de S.Paulo	folha
18633	1053157324733534210	14594813	Folha de S.Paulo	folha
18634	1053157402227458048	14594813	Folha de S.Paulo	folha
18635	1053157402990788608	14594813	Folha de S.Paulo	folha
18636	1053157408338526208	14594813	Folha de S.Paulo	folha
18637	1053157452227723264	14594813	Folha de S.Paulo	folha
18638	1053157454358503425	14594813	Folha de S.Paulo	folha
18639	1053157468673662976	14594813	Folha de S.Paulo	folha
18640	1053157479201284096	8802752	G1	g1
18641	1053157506732711937	14594813	Folha de S.Paulo	folha
18642	1053157528664711168	8802752	G1	g1
18643	1053157542547910656	14594813	Folha de S.Paulo	folha
18644	1053157580288221184	14594813	Folha de S.Paulo	folha
18645	1053157611724521472	8802752	G1	g1
18646	1053157618770944000	8802752	G1	g1
18647	1053157641957134336	14594813	Folha de S.Paulo	folha
18648	1053157662551130113	14594813	Folha de S.Paulo	folha
18649	1053157665797537793	14594813	Folha de S.Paulo	folha
18650	1053157665797537793	42455446	Márcio França	marciofrancagov
18651	1053157674353860608	9317502	Estadão	Estadao
18652	1053157674353860608	76369002	Política Estadão	EstadaoPolitica
18653	1053157684768399361	14594813	Folha de S.Paulo	folha
18654	1053157684931891201	14594813	Folha de S.Paulo	folha
18655	1053157684931891201	14594813	Folha de S.Paulo	folha
18656	1053157684931891201	16632084	CartaCapital	cartacapital
18657	1053157726526861312	9317502	Estadão	Estadao
18658	1053157726526861312	76369002	Política Estadão	EstadaoPolitica
18659	1053157738992336896	14594813	Folha de S.Paulo	folha
18660	1053157758411907072	14594813	Folha de S.Paulo	folha
18661	1053157817715249153	14594813	Folha de S.Paulo	folha
18662	1053157839705911296	9317502	Estadão	Estadao
18663	1053157839705911296	76369002	Política Estadão	EstadaoPolitica
18664	1053157843812208640	14594813	Folha de S.Paulo	folha
18665	1053157886820605952	14594813	Folha de S.Paulo	folha
18666	1053157954269143040	8802752	G1	g1
18667	1053157961256841216	14594813	Folha de S.Paulo	folha
18668	1053157998015799296	14594813	Folha de S.Paulo	folha
18669	1053158037324775424	14594813	Folha de S.Paulo	folha
18670	1053158048183803904	14594813	Folha de S.Paulo	folha
18671	1053158091808825344	9317502	Estadão	Estadao
18672	1053158118077726720	14594813	Folha de S.Paulo	folha
18673	1053158165548818432	14594813	Folha de S.Paulo	folha
18674	1053158171945119745	14594813	Folha de S.Paulo	folha
18675	1053158214215311360	14594813	Folha de S.Paulo	folha
18676	1053158246498885633	14594813	Folha de S.Paulo	folha
18677	1053158265960439808	14594813	Folha de S.Paulo	folha
18678	1053158265960439808	312952797	Eduardo Parreiras	eparreirass
18679	1053158276924391426	14594813	Folha de S.Paulo	folha
18680	1053158330007539713	14594813	Folha de S.Paulo	folha
18681	1053158330007539713	64706049	João Doria	jdoriajr
18682	1053158335351083008	9317502	Estadão	Estadao
18683	1053158335351083008	42954726	Sonia Racy	soracy
18684	1053158345841037313	14594813	Folha de S.Paulo	folha
18685	1053158410391351296	14594813	Folha de S.Paulo	folha
18686	1053158423506882560	14594813	Folha de S.Paulo	folha
18687	1053158429622222848	14594813	Folha de S.Paulo	folha
18688	1053158442251309056	14594813	Folha de S.Paulo	folha
18689	1053158443887026178	14594813	Folha de S.Paulo	folha
18690	1053158525545910274	8802752	G1	g1
18691	1053158533427052544	14594813	Folha de S.Paulo	folha
18692	1053158576561291264	14594813	Folha de S.Paulo	folha
18693	1053158576561291264	312952797	Eduardo Parreiras	eparreirass
18694	1053158615790563328	14594813	Folha de S.Paulo	folha
18695	1053158642109857792	14594813	Folha de S.Paulo	folha
18696	1053158642109857792	312952797	Eduardo Parreiras	eparreirass
18697	1053158642017619968	14594813	Folha de S.Paulo	folha
18698	1053158644496416768	14594813	Folha de S.Paulo	folha
18699	1053158654206205952	14594813	Folha de S.Paulo	folha
18700	1053158667158200321	14594813	Folha de S.Paulo	folha
18701	1053158689123663872	9317502	Estadão	Estadao
18702	1053158689123663872	76369002	Política Estadão	EstadaoPolitica
18703	1053158727124205568	14594813	Folha de S.Paulo	folha
18704	1053158749022625793	14594813	Folha de S.Paulo	folha
18705	1053158829473624064	14594813	Folha de S.Paulo	folha
18706	1053158838172614657	14594813	Folha de S.Paulo	folha
18707	1053158914232070145	14594813	Folha de S.Paulo	folha
18708	1053158954942033920	14594813	Folha de S.Paulo	folha
18709	1053159023233634304	14594813	Folha de S.Paulo	folha
18710	1053159029617385473	14594813	Folha de S.Paulo	folha
